Time,Condition,Tre,Te,Tsk,Met,Eva
0,A-FIG.4,37.1966244725738,37.0067510548523,33.4137931034482,,
5,A-FIG.4,37.1966244725738,36.9898734177215,33.4263322884012,,
10,A-FIG.4,37.1755274261603,37.0067510548523,33.4012539184953,,
15,A-FIG.4,37.1628691983122,36.9898734177215,33.4263322884012,,
20,A-FIG.4,37.137552742616,36.9729957805907,33.4639498432601,,
25,A-FIG.4,37.1080168776371,36.9434599156118,33.5141065830721,,
30,A-FIG.4,37.095358649789,36.9308016877637,33.526645768025,,
35,A-FIG.4,37.0911392405063,36.926582278481,33.4514106583072,,
40,A-FIG.4,37.0911392405063,36.9223628691983,33.4263322884012,,
45,A-FIG.4,37.0700421940928,36.9223628691983,33.3260188087774,,
50,A-FIG.4,37.0700421940928,36.9054852320675,33.3385579937304,,
55,A-FIG.4,37.0573839662447,36.9097046413502,33.3134796238244,,
60,A-FIG.4,37.0320675105485,36.9012658227848,33.3260188087774,,
65,A-FIG.4,37.0405063291139,36.9181434599156,33.9278996865203,,
70,A-FIG.4,37.0151898734177,36.9012658227848,34.2163009404388,,
75,A-FIG.4,37.0151898734177,36.9139240506329,34.2915360501567,,
80,A-FIG.4,37.0004219409282,36.9181434599156,34.4545454545454,,
85,A-FIG.4,37.0025316455696,36.9350210970464,34.5047021943573,,
90,A-FIG.4,37.0130801687763,36.9434599156118,34.6175548589341,,
95,A-FIG.4,37.0088607594936,36.9392405063291,34.705329153605,,
100,A-FIG.4,37.010970464135,36.9434599156118,34.680250783699,,
105,A-FIG.4,37.0194092827004,36.9561181434599,34.692789968652,,
110,A-FIG.4,37.0194092827004,36.9561181434599,34.705329153605,,
115,A-FIG.4,37.0194092827004,36.9540084388185,34.6300940438871,,
120,A-FIG.4,37.0151898734177,36.9434599156118,34.6050156739811,,
125,A-FIG.4,37.0151898734177,36.9392405063291,34.5799373040752,,
130,A-FIG.4,37.0194092827004,36.9455696202531,34.6050156739811,,
135,A-FIG.4,37.0194092827004,36.9413502109704,34.6050156739811,,
140,A-FIG.4,37.0151898734177,36.9371308016877,34.6050156739811,,
145,A-FIG.4,37.0151898734177,36.9413502109704,34.6175548589341,,
150,A-FIG.4,37.010970464135,36.9434599156118,34.5799373040752,,
155,A-FIG.4,37.0151898734177,36.9434599156118,34.5799373040752,,
160,A-FIG.4,37.0194092827004,36.9371308016877,34.5673981191222,,
165,A-FIG.4,37.0278481012658,36.9413502109704,34.5799373040752,,
170,A-FIG.4,37.0320675105485,36.9455696202531,34.4796238244514,,
175,A-FIG.4,37.0320675105485,36.9476793248945,34.5924764890282,,
180,A-FIG.4,37.0447257383966,36.9476793248945,34.5673981191222,,
185,A-FIG.4,37.0616033755274,36.9434599156118,33.7398119122257,,
190,A-FIG.4,37.0890295358649,36.9392405063291,33.7272727272727,,
195,A-FIG.4,37.095358649789,36.9371308016877,33.7272727272727,,
200,A-FIG.4,37.0911392405063,36.9075949367088,33.6771159874608,,
205,A-FIG.4,37.095358649789,36.9075949367088,33.7021943573667,,
210,A-FIG.4,37.0911392405063,36.9118143459915,33.7021943573667,,
215,A-FIG.4,37.0890295358649,36.9139240506329,33.7021943573667,,
220,A-FIG.4,37.0848101265822,36.9097046413502,33.7147335423197,,
225,A-FIG.4,37.0658227848101,36.9097046413502,33.5768025078369,,
230,A-FIG.4,37.0658227848101,36.9075949367088,33.5768025078369,,
235,A-FIG.4,37.0700421940928,36.8970464135021,33.551724137931,,
240,A-FIG.4,37.0658227848101,36.8991561181434,33.564263322884,,
0,A-FIG.5,37.2550561797752,37.0247191011235,34.4809688581314,,
5,A-FIG.5,37.2719101123595,37.052808988764,34.4809688581314,,
10,A-FIG.5,37.2494382022471,37.0443820224719,34.4532871972318,,
15,A-FIG.5,37.2494382022471,37.0275280898876,34.5916955017301,,
20,A-FIG.5,37.2101123595505,37.0191011235955,34.5501730103806,,
25,A-FIG.5,37.2241573033707,37.0050561797752,34.4948096885813,,
30,A-FIG.5,37.2185393258426,36.9797752808988,34.4256055363321,,
35,A-FIG.5,37.2157303370786,36.9629213483146,34.5501730103806,,
40,A-FIG.5,37.2044943820224,36.9516853932584,34.4256055363321,,
45,A-FIG.5,37.1904494382022,36.9460674157303,34.439446366782,,
50,A-FIG.5,37.1707865168539,36.9348314606741,34.3425605536332,,
55,A-FIG.5,37.1539325842696,36.9348314606741,34.3425605536332,,
60,A-FIG.5,37.1202247191011,36.9123595505617,34.3702422145328,,
65,A-FIG.5,37.1370786516853,36.9011235955056,35.1038062283737,,
70,A-FIG.5,37.0865168539325,36.9011235955056,35.4636678200692,,
75,A-FIG.5,37.055617977528,36.8730337078651,35.8650519031141,,
80,A-FIG.5,37.05,36.926404494382,35.7543252595155,,
85,A-FIG.5,37.0808988764044,36.9685393258426,35.7820069204152,,
90,A-FIG.5,37.0949438202247,36.991011235955,35.7820069204152,,
95,A-FIG.5,37.114606741573,37.0219101123595,35.7543252595155,,
100,A-FIG.5,37.1314606741573,37.0303370786516,35.6574394463667,,
105,A-FIG.5,37.1426966292134,37.0415730337078,35.6435986159169,,
110,A-FIG.5,37.1398876404494,37.0471910112359,35.6712802768166,,
115,A-FIG.5,37.1398876404494,37.0415730337078,35.6712802768166,,
120,A-FIG.5,37.1539325842696,37.052808988764,35.5605536332179,,
125,A-FIG.5,37.1595505617977,37.0640449438202,35.5467128027681,,
130,A-FIG.5,37.1651685393258,37.0696629213483,35.6435986159169,,
135,A-FIG.5,37.179213483146,37.0696629213483,35.5743944636678,,
140,A-FIG.5,37.1876404494382,37.0752808988764,35.6989619377162,,
145,A-FIG.5,37.1960674157303,37.0780898876404,35.6851211072664,,
150,A-FIG.5,37.1960674157303,37.0865168539325,35.5328719723183,,
155,A-FIG.5,37.1960674157303,37.0949438202247,35.5605536332179,,
160,A-FIG.5,37.1707865168539,37.0949438202247,35.5882352941176,,
165,A-FIG.5,37.1848314606741,37.0921348314606,35.5190311418685,,
170,A-FIG.5,37.2241573033707,37.0949438202247,35.5051903114186,,
175,A-FIG.5,37.2213483146067,37.1202247191011,35.5190311418685,,
180,A-FIG.5,37.2522471910112,37.114606741573,35.5882352941176,,
185,A-FIG.5,37.2747191011235,37.114606741573,34.2041522491349,,
190,A-FIG.5,37.2859550561797,37.0837078651685,34.2179930795847,,
195,A-FIG.5,37.2831460674157,37.0696629213483,34.0657439446366,,
200,A-FIG.5,37.2747191011235,37.0247191011235,34.0795847750865,,
205,A-FIG.5,37.2943820224719,36.9938202247191,34.1487889273356,,
210,A-FIG.5,37.2634831460674,36.9741573033707,34.1903114186851,,
215,A-FIG.5,37.2213483146067,36.9544943820224,34.1487889273356,,
220,A-FIG.5,37.1848314606741,36.9657303370786,34.1626297577854,,
225,A-FIG.5,37.1623595505617,36.9994382022471,34.0657439446366,,
230,A-FIG.5,37.1426966292134,36.9797752808988,34.038062283737,,
235,A-FIG.5,37.1202247191011,36.9657303370786,34.1487889273356,,
240,A-FIG.5,37.0977528089887,36.9432584269662,34.1903114186851,,
0,A-FIG.6,37.2449299851595,37.1609424033215,34.1007818116462,,
5,A-FIG.6,37.2209500859573,37.1789474788989,34.1382124171259,43.167701863354,17.5465838509317
10,A-FIG.6,37.2109828106272,37.1550028442545,34.2274642543334,41.7701863354037,12.4223602484472
15,A-FIG.6,37.1939827749428,37.1555318126192,34.2474463815001,42.0807453416148,20.4968944099379
20,A-FIG.6,37.1630230122229,37.1105241614696,34.128452252576,41.1490683229813,17.3913043478261
25,A-FIG.6,37.1530557368928,37.1110531298344,34.1310732686316,40.527950310559,15.527950310559
30,A-FIG.6,37.143053197005,37.0940883587077,34.1335195502835,40.3726708074534,15.527950310559
35,A-FIG.6,37.1155745499046,37.0805870709216,34.0317991652687,40.3726708074534,14.4409937888198
40,A-FIG.6,37.1020908943973,37.0600882873389,34.0343328141225,40.3726708074534,15.3726708074534
45,A-FIG.6,37.0816097430935,37.029128524619,34.1237593857336,39.2857142857142,9.62732919254661
50,A-FIG.6,37.0611285917896,37.0156448691118,34.1957374790318,39.2857142857143,16.4596273291925
55,A-FIG.6,37.0406474404858,37.0126398250206,34.1461877945522,40.2173913043478,14.1304347826087
60,A-FIG.6,37.0096524132082,37.0341436484963,33.992471443406,,17.2360248447205
65,A-FIG.6,36.9891712619044,37.0381713647593,35.3665328700375,40.2173913043478,33.8509316770186
70,A-FIG.6,36.9792039865742,37.0806676756248,35.8552649972042,40.8385093167701,45.0310559006211
75,A-FIG.6,37.0007254423288,37.1336602301852,35.9445168344116,39.9068322981366,44.8757763975155
80,A-FIG.6,37.0327078772205,37.1831364045684,35.9817727054876,39.2857142857142,59.6273291925465
85,A-FIG.6,37.061191564214,37.2081566082212,36.0191159437654,38.975155279503,60.5590062111801
90,A-FIG.6,37.0932092636634,37.2296604316969,36.0563718148414,38.9751552795031,61.4906832298136
95,A-FIG.6,37.1217105829357,37.2476655072743,36.0588180964933,40.2173913043478,59.3167701863354
100,A-FIG.6,37.1432144064114,37.2586730870551,36.0266295231248,39.5962732919255,60.55900621118
105,A-FIG.6,37.1647005976083,37.2486881794462,35.9598934619378,39.9068322981366,65.8385093167701
110,A-FIG.6,37.1792245575662,37.2771718664396,35.9622523763878,39.9068322981366,68.7888198757763
115,A-FIG.6,37.1832170092716,37.2671869588307,35.9475996485342,39.1304347826087,70.807453416149
120,A-FIG.6,37.1767308495609,37.2816932865098,35.8805141185398,39.9068322981366,73.6024844720496
125,A-FIG.6,37.1842573137223,37.2717083789008,35.8483255451713,41.9254658385093,60.4037267080745
130,A-FIG.6,37.2057435049192,37.2827159586817,35.868307672338,39.9068322981366,81.9875776397515
135,A-FIG.6,37.2342448241914,37.2937411707413,35.8360317317677,40.527950310559,85.0931677018633
140,A-FIG.6,37.2452524039723,37.3082298661416,35.8559264917325,40.0621118012422,84.1614906832298
145,A-FIG.6,37.2702549753463,37.3192374459224,35.8585475077881,40.6832298136646,82.1428571428571
150,A-FIG.6,37.2952575467202,37.3267462778049,35.9477993449956,40.8385093167701,90.3726708074534
155,A-FIG.6,37.2922701349079,37.3342727419662,35.93305924994,39.751552795031,88.6645962732919
160,A-FIG.6,37.2962802188921,37.3592576810614,35.952866642703,39.5962732919255,91.4596273291925
165,A-FIG.6,37.3107865465712,37.3492727734525,35.9554002915568,39.5962732919254,85.8695652173912
170,A-FIG.6,37.321794126352,37.3707765969282,35.9579339404105,39.5962732919254,84.9378881987577
175,A-FIG.6,37.3222878301591,37.3747690486336,35.9778287003754,40.6832298136646,89.5962732919254
180,A-FIG.6,37.3507891494314,37.3822778805161,36.0498067936736,,99.3788819875776
185,A-FIG.6,37.3513004855174,37.4002829560935,34.5592848869717,40.6832298136646,41.4596273291925
190,A-FIG.6,37.3867816683074,37.4288019076446,34.0409852024922,38.6645962732918,19.8757763975155
195,A-FIG.6,37.4153006198585,37.4258144958322,34.0260703730329,37.5776397515528,18.7888198757763
200,A-FIG.6,37.4263081996393,37.422809451741,34.1326833213515,37.2670807453416,18.7888198757763
205,A-FIG.6,37.4338346638007,37.3848169286669,34.117943226296,36.4906832298137,16.6149068322981
210,A-FIG.6,37.4238497561917,37.3503584180487,34.2420046529275,37.2670807453416,20.8074534161491
215,A-FIG.6,37.4138472163039,37.3333760146431,34.3487049684479,37.4223602484472,19.5652173913043
220,A-FIG.6,37.3863509369247,37.3128772310605,34.3511512500998,37.4223602484472,17.5465838509317
225,A-FIG.6,37.3623534054437,37.306373439071,34.3537722661554,37.2670807453416,12.1118012422361
230,A-FIG.6,37.3383558739628,37.3033683949798,34.3214963255851,38.1987577639751,12.111801242236
235,A-FIG.6,37.3248722184555,37.2898847394725,34.3413037183481,37.2670807453416,13.1987577639751
240,A-FIG.6,37.30788981505,37.2903784432796,34.2222222222222,37.4223602484472,14.4409937888198
0,A-FIG.7,37.384,37.1973333333333,34.1095890410958,,
5,A-FIG.7,37.3893333333333,37.2533333333333,34.1506849315068,,
10,A-FIG.7,37.3813333333333,37.2426666666666,34.0410958904109,,
15,A-FIG.7,37.384,37.216,34.0684931506849,,
20,A-FIG.7,37.376,37.1733333333333,34.0273972602739,,
25,A-FIG.7,37.3573333333333,37.1626666666666,34.0273972602739,,
30,A-FIG.7,37.3093333333333,37.1653333333333,34.0273972602739,,
35,A-FIG.7,37.3333333333333,37.168,34.0410958904109,,
40,A-FIG.7,37.3226666666666,37.168,34.0684931506849,,
45,A-FIG.7,37.304,37.1653333333333,33.931506849315,,
50,A-FIG.7,37.2773333333333,37.1573333333333,33.931506849315,,
55,A-FIG.7,37.2746666666666,37.1573333333333,33.8493150684931,,
60,A-FIG.7,37.2693333333333,37.1493333333333,33.8630136986301,,
65,A-FIG.7,37.2613333333333,37.144,35.917808219178,,
70,A-FIG.7,37.2506666666666,37.1973333333333,36.6027397260274,,
75,A-FIG.7,37.248,37.2906666666666,36.6986301369862,,
80,A-FIG.7,37.2693333333333,37.4213333333333,36.6986301369863,,
85,A-FIG.7,37.28,37.4906666666666,36.6849315068493,,
90,A-FIG.7,37.3013333333333,37.5173333333333,36.6027397260273,,
95,A-FIG.7,37.3626666666666,37.5866666666666,36.6986301369863,,
100,A-FIG.7,37.3866666666666,37.6053333333333,36.7123287671232,,
105,A-FIG.7,37.416,37.632,36.6027397260274,,
110,A-FIG.7,37.4506666666666,37.6586666666666,36.6986301369863,,
115,A-FIG.7,37.4773333333333,37.696,36.6164383561643,,
120,A-FIG.7,37.504,37.7253333333333,36.7260273972602,,
125,A-FIG.7,37.5253333333333,37.752,36.6986301369863,,
130,A-FIG.7,37.568,37.768,36.7945205479452,,
135,A-FIG.7,37.5973333333333,37.7893333333333,36.8219178082191,,
140,A-FIG.7,37.6453333333333,37.8053333333333,36.7945205479452,,
145,A-FIG.7,37.68,37.8826666666666,36.7808219178082,,
150,A-FIG.7,37.6986666666666,37.9173333333333,36.8082191780821,,
155,A-FIG.7,37.7466666666666,37.9226666666666,36.8356164383561,,
160,A-FIG.7,37.7786666666666,37.9413333333333,36.9041095890411,,
165,A-FIG.7,37.792,37.944,36.8493150684931,,
170,A-FIG.7,37.824,37.9866666666666,36.8904109589041,,
175,A-FIG.7,37.8506666666666,38.0026666666666,36.945205479452,,
180,A-FIG.7,37.872,37.976,36.931506849315,,
185,A-FIG.7,37.8933333333333,37.9653333333333,34.4931506849315,,
190,A-FIG.7,37.896,37.928,34.0958904109589,,
195,A-FIG.7,37.8906666666666,37.848,33.958904109589,,
200,A-FIG.7,37.8666666666666,37.7946666666666,34.0958904109589,,
205,A-FIG.7,37.8586666666666,37.7706666666666,33.958904109589,,
210,A-FIG.7,37.8186666666666,37.7706666666666,34.0684931506849,,
215,A-FIG.7,37.7973333333333,37.72,34.0684931506849,,
220,A-FIG.7,37.7733333333333,37.616,34.0958904109589,,
225,A-FIG.7,37.7493333333333,37.624,34.1780821917808,,
230,A-FIG.7,37.7333333333333,37.616,34.2054794520547,,
235,A-FIG.7,37.7146666666666,37.6293333333333,34.2191780821917,,
