To,Rectum,Tympanum,Forehead,Abdomen,Chest,Thigh,Back,Upper arm,Forearm,Calf,Hand,Foot,Finger,Toe,Mean skin
10,36.22708757637474,35.81466395112017,28.684317718940935,27.668024439918533,27.212321792260692,26.906822810590633,24.90325865580448,22.59674134419552,20.03564154786151,19.282077393075355,17.34725050916497,16.420570264765786,14.20061099796334,12.113034623217922,24.132469450101837
20,36.283095723014256,36.19653767820774,32.42107942973523,30.39205702647658,29.74032586558045,29.74032586558045,28.20264765784114,27.29633401221996,25.73828920570265,24.75050916496945,23.04989816700611,22.571283095723015,20.992871690427698,19.90325865580448,28.110768839103873
30,36.39511201629328,36.5928716904277,35.195723014256615,34.79124236252546,34.11405295315682,34.43482688391039,33.88492871690428,33.597250509164965,34.134419551934826,32.31670061099796,34.25152749490835,31.45112016293279,32.61201629327903,30.05600814663951,34.07739714867617
35,36.644602851323825,36.80753564154786,35.723014256619145,35.45824847250509,35.36502036659878,35.46843177189409,35.22123217922607,35.384419551934826,35.398727087576376,34.274083503054996,35.65748472505092,33.627800407331975,34.94399185336049,33.4877800407332,35.19827291242362
40,36.9755600814664,37.09266802443992,36.32255600814664,36.176171079429736,36.496945010183296,36.17107942973523,36.589154786150715,37.08248472505092,37.54582484725051,36.313645621181266,37.070672097759676,35.74847250509165,37.09266802443992,36.82790224032587,36.4098599796334
45,37.31670061099796,37.5,36.995926680244395,36.710794297352344,37.15631364562118,36.71843177189409,37.31670061099796,38.13136456211812,36.72097759674135,37.64765784114053,37.574338085539715,37.07230142566192,38.14154786150713,38.43686354378819,36.92390529531568
50,37.88696537678207,37.92596741344195,37.89205702647658,37.57128309572302,37.788951120162935,37.56955193482688,38.08569246435845,38.98609979633401,37.567057026476576,39.12774949083503,38.04445010183299,38.01751527494908,38.971690427698576,39.64358452138492,37.85005193482689
